OrderID,OrderDate,Region,Category,Product,Sales,Quantity,Profit
3064,2024-09-28,South,Furniture,Table,22612,3,3392
3065,2024-10-10,East,Electronics,Laptop,49712,1,5154
3066,2024-10-13,South,Electronics,Tablet,80172,5,9986
3067,2024-10-14,West,Furniture,Chair,20318,4,3727
3068,2024-11-05,South,Furniture,Table,14901,2,1786
3069,2024-11-14,South,Clothing,Jacket,16711,4,3311
3070,2024-12-11,North,Electronics,Mobile,39082,3,4546
3071,2024-12-24,West,Electronics,Tablet,80573,5,15880
3072,2025-01-02,East,Clothing,T-Shirt,2640,1,312
3073,2025-01-12,North,Furniture,Table,22445,3,4403
3074,2025-01-26,South,Clothing,Jeans,3333,1,405
3075,2025-02-02,East,Electronics,Mobile,51371,4,7575
3076,2025-02-14,South,Clothing,Jacket,8633,2,1533
3077,2025-02-16,North,Electronics,Laptop,100018,2,15870
3078,2025-02-21,East,Furniture,Chair,15489,3,1909
3079,2025-03-01,South,Clothing,Jacket,20997,5,3704
3080,2025-03-04,South,Clothing,Jeans,11183,3,1810
3081,2025-03-15,West,Electronics,Mobile,64485,5,12315
3082,2025-03-19,North,Clothing,Jacket,21656,5,3644
3083,2025-03-22,South,Clothing,Jacket,3463,1,360
3084,2025-03-27,North,Clothing,Jeans,14124,4,2201
3085,2025-04-06,South,Clothing,T-Shirt,9740,4,977
3086,2025-04-08,North,Electronics,Tablet,79335,5,13849
3087,2025-04-14,North,Furniture,Table,22180,3,3835
3088,2025-05-02,West,Electronics,Mobile,51983,4,5597
3089,2025-06-01,North,Clothing,Jeans,17995,5,2956
3090,2025-06-21,South,Electronics,Tablet,47720,3,7881
3091,2025-07-08,South,Clothing,Jeans,3687,1,391
3092,2025-07-15,South,Furniture,Chair,19795,4,3382
3093,2025-08-01,West,Furniture,Table,30771,4,3441
3094,2025-08-26,East,Clothing,T-Shirt,2668,1,271
3095,2025-09-30,West,Furniture,Chair,14992,3,1813
3096,2025-10-25,North,Electronics,Mobile,26730,2,4073
3097,2025-10-28,East,Furniture,Chair,5640,1,769
3098,2025-11-24,West,Furniture,Table,7025,1,705
3099,2025-12-02,West,Furniture,Table,23189,3,2645
3100,2025-12-29,East,Furniture,Table,7378,1,739
